country,state,sqft,bhk,area_type,population,age,price
India,Gujarat,4072,5,Rich,7265,18,94934284
India,Punjab,3471,3,Rich,2685,1,60973662
India,Telangana,1484,4,Medium,20769,21,28265201
India,Rajasthan,774,3,Rich,19942,27,11593594
India,Karnataka,1567,1,Poor,12394,36,14104911
India,West Bengal,2735,1,Rich,44323,13,43122275
India,Rajasthan,2912,2,Medium,24483,6,30991595
India,Uttar Pradesh,334,1,Poor,27531,39,1263610
India,Telangana,4143,5,Medium,46758,17,145486656
India,Delhi,2281,4,Medium,33606,14,108065828
India,Gujarat,637,5,Rich,22271,25,18101629
India,Haryana,2362,5,Rich,49984,6,108784199
India,Maharashtra,691,3,Poor,13666,4,26850541
India,Kerala,3399,1,Rich,31535,11,50799294
India,Gujarat,3945,5,Poor,31818,39,43799421
India,Karnataka,2990,1,Rich,18412,25,63382448
India,Gujarat,4788,2,Poor,24419,12,39702751
India,Gujarat,863,5,Rich,46151,3,38672078
India,Gujarat,1978,3,Poor,34827,12,19224839
India,Punjab,3457,4,Poor,44585,5,41662384
India,Haryana,2281,3,Medium,19047,27,32044634
India,Maharashtra,1606,1,Rich,28251,12,86952254
India,Gujarat,4713,5,Medium,32968,23,96700510
India,Telangana,4063,1,Rich,47576,11,96928926
India,Delhi,1936,1,Poor,28728,1,47211109
India,Telangana,3774,2,Poor,22556,25,46611456
India,Gujarat,502,3,Poor,13688,37,3500419
India,Tamil Nadu,497,3,Medium,45542,15,9879699
India,Haryana,3697,5,Poor,27370,19,60129841
India,Tamil Nadu,1669,3,Poor,31206,18,19026999
India,Gujarat,3276,2,Rich,12111,0,69287982
India,Rajasthan,4361,2,Rich,31306,6,74153588
India,Kerala,3943,1,Rich,3049,0,52673876
India,Haryana,3408,3,Rich,8158,8,78474992
India,Karnataka,4799,1,Poor,13183,10,57867978
India,Tamil Nadu,4499,4,Medium,49354,24,95927008
India,Delhi,4733,2,Medium,3869,34,117439287
India,Rajasthan,4793,5,Rich,22295,19,101236255
India,Uttar Pradesh,1518,1,Poor,5735,32,4568656
India,Punjab,4865,5,Poor,9754,7,53753543
India,Delhi,1259,1,Rich,30124,18,56187266
India,Maharashtra,1543,5,Rich,18453,5,154215613
India,Rajasthan,2627,5,Rich,32216,30,53879127
India,Maharashtra,2600,5,Poor,36743,22,112147035
India,Karnataka,2116,2,Medium,24093,2,57512188
India,Uttar Pradesh,4314,2,Medium,17538,1,38029576
India,Uttar Pradesh,4641,5,Rich,6801,25,71633303
India,Rajasthan,3250,1,Rich,46091,19,43389736
India,Haryana,1466,4,Poor,33097,1,26225230
India,Telangana,4036,2,Poor,23677,21,43559687
India,Kerala,4154,3,Medium,3491,36,38690543
India,West Bengal,1176,4,Rich,33093,34,22694833
India,Tamil Nadu,4765,4,Rich,47185,29,132080710
India,Uttar Pradesh,3975,2,Poor,48030,25,21741257
India,West Bengal,3138,1,Medium,35699,0,32763333
India,Maharashtra,3149,1,Poor,46543,0,111009553
India,Gujarat,880,5,Poor,9130,11,10727630
India,Karnataka,3044,5,Rich,10435,4,155674595
India,Tamil Nadu,3259,2,Rich,36247,20,68689002
India,Maharashtra,2057,5,Medium,27646,9,165253972
India,Tamil Nadu,3551,2,Medium,24289,18,50875439
India,Maharashtra,4911,2,Rich,30168,27,296257190
India,Punjab,4046,4,Medium,27144,32,47737246
India,Punjab,4213,3,Rich,25107,28,59174381
India,Delhi,2846,2,Rich,35850,22,138288424
India,Uttar Pradesh,1925,2,Rich,42576,6,27104133
India,West Bengal,1816,3,Medium,1412,35,14201525
India,Rajasthan,2804,3,Medium,49816,34,27901391
India,Delhi,2443,5,Rich,45811,12,252430973
India,Karnataka,4252,4,Rich,47959,24,196499367
India,Punjab,695,5,Poor,8400,18,6169443
India,Gujarat,3082,4,Medium,6486,15,43848799
India,Karnataka,3238,5,Rich,41419,22,182829770
India,Gujarat,3282,2,Rich,10348,34,47414705
India,Punjab,1253,4,Poor,8056,37,7590936
India,Uttar Pradesh,3293,3,Medium,20065,1,31300065
India,West Bengal,2686,5,Medium,27432,21,44909121
India,Gujarat,1624,4,Rich,36909,30,35887047
India,Haryana,2514,3,Medium,26289,25,37265496
India,Karnataka,1543,2,Rich,31355,27,51883371
India,Rajasthan,3372,3,Poor,43956,27,28229943
India,Haryana,1123,1,Rich,38797,5,25772363
India,West Bengal,3584,3,Medium,12003,36,29916489
India,Karnataka,1556,1,Rich,39413,14,45140419
India,West Bengal,3630,1,Medium,8114,11,29392199
India,Uttar Pradesh,3319,4,Medium,30703,27,34723254
India,Uttar Pradesh,839,4,Medium,38732,40,7659046
India,Punjab,2808,4,Medium,32471,28,33876046
India,Karnataka,4785,2,Rich,5804,24,121012514
India,Uttar Pradesh,1315,1,Medium,28712,17,9361859
India,Maharashtra,4458,1,Poor,21309,26,90669706
India,Maharashtra,2452,3,Medium,9702,0,109271653
India,Gujarat,4871,1,Medium,33606,4,67608755
India,West Bengal,3936,5,Poor,5809,9,42922105
India,West Bengal,2348,3,Medium,18100,3,30840528
India,Maharashtra,3719,2,Medium,44125,2,217955774
India,Haryana,1377,4,Rich,42348,29,46097369
India,Rajasthan,3114,5,Rich,40764,13,80958071
India,Karnataka,1629,2,Poor,9017,29,20359339
India,Karnataka,2317,4,Poor,29920,37,40060501
India,Haryana,3477,3,Medium,44088,4,85973414
India,Kerala,3132,4,Rich,37932,33,71356837
India,Delhi,4118,3,Rich,13015,10,205718146
India,Rajasthan,3745,4,Poor,46415,3,45262467
India,Karnataka,966,5,Poor,11161,18,22401310
India,Delhi,4200,5,Medium,40749,0,321987864
India,Haryana,3417,2,Medium,43928,13,57723495
India,Punjab,2596,1,Rich,44221,29,29987519
India,Maharashtra,2355,1,Medium,15178,14,71722662
India,Uttar Pradesh,825,2,Medium,29699,22,6279359
India,Delhi,4921,3,Rich,47391,6,399782930
India,Gujarat,1831,5,Medium,41441,37,32844156
India,Rajasthan,4880,4,Poor,26289,38,33750146
India,Gujarat,425,4,Medium,5632,16,5870243
India,Rajasthan,366,1,Medium,27734,35,2228658
India,Delhi,4307,1,Poor,24275,18,82404545
India,West Bengal,3039,2,Medium,49447,33,30407693
India,Punjab,4112,1,Rich,28285,20,42213570
India,Gujarat,3817,1,Medium,14046,2,41338799
India,Uttar Pradesh,2895,2,Rich,42427,27,39081409
India,Telangana,3228,3,Medium,39328,1,88424125
India,Uttar Pradesh,1441,4,Medium,27386,19,15884002
India,Maharashtra,2348,2,Poor,13941,37,51385368
India,Punjab,2326,3,Poor,21128,5,19096638
India,Kerala,1973,4,Rich,40809,12,58075224
India,Tamil Nadu,1642,5,Rich,44336,16,58821807
India,Uttar Pradesh,2338,3,Medium,29253,30,18901653
India,Haryana,4729,5,Medium,9567,10,106514142
India,Haryana,1870,1,Poor,6415,21,10776464
India,Uttar Pradesh,1172,5,Poor,31523,29,10425354
India,West Bengal,3198,3,Rich,1077,25,46253710
India,Rajasthan,1365,1,Rich,44303,7,18990114
India,Karnataka,4970,1,Rich,20096,16,135361065
India,Gujarat,2297,5,Medium,37455,39,40771000
India,Karnataka,2926,3,Medium,25519,14,79016062
India,Maharashtra,1554,3,Medium,34187,28,65474860
India,Maharashtra,1250,1,Rich,39141,3,83328862
India,Kerala,2165,1,Rich,47197,37,30200309
India,Tamil Nadu,3528,5,Rich,15382,3,137140275
India,Delhi,394,3,Poor,40666,35,10079163
India,Punjab,2416,4,Poor,13298,9,22291245
India,Telangana,1114,2,Poor,11541,11,13726228
India,Uttar Pradesh,3581,1,Medium,16328,39,18046173
India,Haryana,3235,5,Rich,39727,27,112435771
India,Rajasthan,4446,5,Medium,45327,40,66353791
India,Gujarat,3161,5,Rich,37244,25,98494916
India,Telangana,3172,1,Poor,35622,39,27908488
India,Rajasthan,501,4,Rich,40224,25,9296585
India,Tamil Nadu,1925,3,Rich,8973,1,48000150
India,Punjab,3900,3,Medium,42914,23,46356911
India,Tamil Nadu,3872,1,Medium,38148,21,40720341
India,Delhi,3420,1,Rich,47163,40,126566255
India,Telangana,2024,1,Medium,21806,0,32273262
